UniProt_Accession_for_Protein_Group	UniProt_ID_for_Protein_Group	UniProt_Protein_Description	Quantified_Peptides_Experiment_1	Quantified_Peptides_Experiment_1.1	Quantified_PSMs_(Rep_1)_Experiment_1	Quantified_PSMs_(Rep_1)_Experiment_1.1	126	127N	127C	128N	128C	129N	129C	130N	130C	131	126.1	127N.1	127C.1	128N.1	128C.1	129N.1	129C.1	130N.1	130C.1	131.1	phenoDisco_Input	phenoDisco_Output	Curated_phenoDisco_Output	SVM_marker_set	SVM_classification	SVM_score	SVM_classification_(top_quartile)	Final_Localization_Assignment	First_localization_evidence?	Curated_Organelles	Cytoskeletal_Components	Trafficking_Proteins	Protein_Complexes	Signaling_Cascades	Oct4_Interactome	Nanog_Interactome	Sox2_Interactome	Cell_Surface_Proteins	uniprot_id	isoforms	max_fraction	min_difference	mean_expression	length	classified	low_fraction	AS	temp_binary
Q587J6	LITD1_MOUSE	LINE-1 type transposase domain-containing protein 1 OS=Mus musculus GN=L1td1 PE=2 SV=1 - [LITD1_MOUSE]	40	36	86	85	0.055	0.017	0.02	0.011	0.034	0.084	0.13	0.263	0.132	0.253	0.042	0.017	0.03	0.039	0.061	0.124	0.188	0.134	0.155	0.208	unknown	unknown	unknown	unknown	Peroxisome	0.357	unclassified	unclassified	Y						Prey				Q587J6	1	1.0		196.393120718	782	False	False	False	False
Q9Z1Q9	SYVC_MOUSE	Valine--tRNA ligase OS=Mus musculus GN=Vars PE=2 SV=1 - [SYVC_MOUSE]	40	35	72	55	0.117	0.038	0.036	0.019	0.043	0.064	0.081	0.273	0.063	0.266	0.121	0.069	0.076	0.076	0.099	0.111	0.127	0.11	0.118	0.093	unknown	unknown	unknown	unknown	Peroxisome	0.209	unclassified	unclassified	N										Q9Z1Q9	1	1.0		28.867615731	1263	False	False	False	False
P63038	CH60_MOUSE	60 kDa heat shock protein, mitochondrial OS=Mus musculus GN=Hspd1 PE=1 SV=1 - [CH60_MOUSE]	39	43	165	295	0.0	0.02	0.021	0.014	0.032	0.097	0.282	0.271	0.01	0.252	0.002	0.012	0.016	0.02	0.027	0.103	0.358	0.311	0.015	0.137	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N						Mitochondrion				P63038	1	1.0		249.718511978	573	True	False	False	False
P08113	ENPL_MOUSE	Endoplasmin OS=Mus musculus GN=Hsp90b1 PE=1 SV=2 - [ENPL_MOUSE]	39	40	96	178	0.025	0.054	0.064	0.051	0.155	0.259	0.143	0.141	0.0	0.108	0.02	0.046	0.082	0.126	0.186	0.264	0.174	0.081	0.005	0.016	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	1.0	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N				Glucosidase II complex						P08113	1	1.0		266.100394763	802	True	False	False	False
P43247	MSH2_MOUSE	DNA mismatch repair protein Msh2 OS=Mus musculus GN=Msh2 PE=2 SV=1 - [MSH2_MOUSE]	39	33	73	61	0.152	0.008	0.018	0.005	0.012	0.029	0.078	0.316	0.101	0.281	0.224	0.02	0.034	0.028	0.034	0.056	0.114	0.175	0.199	0.116	unknown	unknown	unknown	unknown	Nucleus - Chromatin	0.469	unclassified	unclassified	N						Prey			Non-Specific	P43247	1	1.0		84.676841104	935	False	False	False	False
Q69ZN7	MYOF_MOUSE	Myoferlin OS=Mus musculus GN=Myof PE=1 SV=2 - [MYOF_MOUSE]	39	42	63	74	0.0	0.09	0.209	0.157	0.288	0.115	0.055	0.05	0.0	0.035	0.002	0.057	0.128	0.224	0.284	0.176	0.083	0.031	0.007	0.008	unknown	unknown	unknown	unknown	Lysosome	0.781	Lysosome	Lysosome	N										Q69ZN7	1	1.0		10.5676547212	2048	True	False	False	False
Q8VDJ3	VIGLN_MOUSE	Vigilin OS=Mus musculus GN=Hdlbp PE=1 SV=1 - [VIGLN_MOUSE]	38	39	65	60	0.059	0.036	0.041	0.026	0.065	0.191	0.185	0.157	0.054	0.186	0.052	0.031	0.049	0.061	0.075	0.172	0.155	0.092	0.059	0.254	unknown	unknown	unknown	unknown	60S Ribosome	0.315	unclassified	unclassified	N										Q8VDJ3	1	1.0		96.7179234605	1268	False	False	False	False
Q61543	GSLG1_MOUSE	Golgi apparatus protein 1 OS=Mus musculus GN=Glg1 PE=1 SV=1 - [GSLG1_MOUSE]	38	45	60	79	0.004	0.058	0.131	0.098	0.226	0.212	0.077	0.101	0.019	0.074	0.005	0.047	0.097	0.164	0.232	0.232	0.123	0.064	0.02	0.016	unknown	unknown	unknown	unknown	Extracellular matrix	0.489	Extracellular matrix	unclassified	N										Q61543	1	1.0		25.2608797172	1175	False	False	False	False
Q8CG47	SMC4_MOUSE	Structural maintenance of chromosomes protein 4 OS=Mus musculus GN=Smc4 PE=1 SV=1 - [SMC4_MOUSE]	38	41	58	62	0.106	0.036	0.036	0.019	0.035	0.055	0.103	0.234	0.132	0.244	0.085	0.044	0.047	0.051	0.06	0.079	0.108	0.152	0.189	0.186	unknown	unknown	unknown	unknown	Nucleus - Chromatin	0.261	unclassified	unclassified	N				13S condensin complex						Q8CG47	1	1.0		37.905688508	1286	False	False	False	False
Q6PDQ2	CHD4_MOUSE	Chromodomain-helicase-DNA-binding protein 4 OS=Mus musculus GN=Chd4 PE=1 SV=1 - [CHD4_MOUSE]	38	38	47	46	0.039	0.0	0.005	0.0	0.006	0.026	0.108	0.296	0.248	0.271	0.052	0.009	0.012	0.012	0.019	0.037	0.118	0.168	0.477	0.096	unknown	unknown	unknown	unknown	Nucleus - Chromatin	0.92	Nucleus - Chromatin	Nucleus - Chromatin	N				NuRD complex		Prey	Prey	Prey		Q6PDQ2	1	1.0		64.012911897	1915	True	False	False	False
Q8K298	ANLN_MOUSE	Actin-binding protein anillin OS=Mus musculus GN=Anln PE=1 SV=2 - [ANLN_MOUSE]	37	38	80	63	0.035	0.085	0.051	0.033	0.05	0.087	0.13	0.238	0.087	0.204	0.038	0.089	0.071	0.064	0.082	0.102	0.12	0.151	0.202	0.081	unknown	unknown	unknown	unknown	Mitochondrion	0.208	unclassified	unclassified	N										Q8K298	1	1.0		33.85475217	1121	False	False	False	False
P14873	MAP1B_MOUSE	Microtubule-associated protein 1B OS=Mus musculus GN=Map1b PE=1 SV=2 - [MAP1B_MOUSE]	37	33	60	49	0.081	0.037	0.028	0.014	0.025	0.049	0.135	0.279	0.108	0.244	0.113	0.098	0.103	0.085	0.075	0.094	0.102	0.136	0.151	0.043	unknown	unknown	unknown	unknown	Mitochondrion	0.202	unclassified	unclassified	N		Microtubules								P14873	1	1.0		11.0692087375	2464	False	False	False	False
Q8BI84	MIA3_MOUSE	Melanoma inhibitory activity protein 3 OS=Mus musculus GN=Mia3 PE=1 SV=2 - [MIA3_MOUSE]	37	57	59	86	0.0	0.041	0.05	0.048	0.122	0.316	0.158	0.14	0.008	0.118	0.002	0.035	0.071	0.122	0.192	0.293	0.161	0.091	0.01	0.022	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	1.0	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N										Q8BI84	1	1.0		17.8267264713	1930	True	False	False	False
Q3U1J4	DDB1_MOUSE	DNA damage-binding protein 1 OS=Mus musculus GN=Ddb1 PE=1 SV=2 - [DDB1_MOUSE]	37	29	53	40	0.451	0.078	0.075	0.032	0.048	0.032	0.03	0.09	0.081	0.082	0.398	0.077	0.085	0.069	0.075	0.057	0.048	0.043	0.103	0.046	unknown	unknown	unknown	unknown	Proteasome	0.495	unclassified	unclassified	N										Q3U1J4	1	1.0		138.566710195	1140	False	False	False	False
Q9JLN9	MTOR_MOUSE	Serine/threonine-protein kinase mTOR OS=Mus musculus GN=Mtor PE=1 SV=2 - [MTOR_MOUSE]	37	50	47	62	0.061	0.17	0.155	0.098	0.142	0.105	0.048	0.097	0.024	0.101	0.037	0.113	0.148	0.176	0.184	0.133	0.067	0.037	0.026	0.079	unknown	unknown	unknown	unknown	Plasma membrane	0.253	unclassified	unclassified	N										Q9JLN9	1	1.0		9.84425369	2549	False	False	False	False
P42932	TCPQ_MOUSE	T-complex protein 1 subunit theta OS=Mus musculus GN=Cct8 PE=1 SV=3 - [TCPQ_MOUSE]	36	31	76	76	0.446	0.122	0.105	0.049	0.075	0.048	0.023	0.043	0.022	0.066	0.329	0.105	0.113	0.096	0.102	0.072	0.043	0.023	0.027	0.091	unknown	unknown	unknown	unknown	Cytosol	0.543	unclassified	unclassified	N				CCT complex						P42932	1	1.0		383.3506307	548	False	False	False	False
P17426-2	AP2A1_MOUSE	Isoform B of AP-2 complex subunit alpha-1 OS=Mus musculus GN=Ap2a1 - [AP2A1_MOUSE]	36	24	65	52	0.037	0.208	0.112	0.081	0.14	0.154	0.102	0.074	0.031	0.062	0.03	0.117	0.105	0.11	0.141	0.193	0.17	0.043	0.033	0.058	unknown	unknown	unknown	unknown	Plasma membrane	0.215	unclassified	unclassified	N	Vesicles - AP2									P17426	2	0.78212711827	0.278564541033	32.1502062802	977	False	True	True	False
Q8CGC7	SYEP_MOUSE	Bifunctional glutamate/proline--tRNA ligase OS=Mus musculus GN=Eprs PE=1 SV=4 - [SYEP_MOUSE]	36	53	57	77	0.63	0.067	0.086	0.023	0.041	0.046	0.027	0.027	0.021	0.034	0.423	0.071	0.094	0.074	0.083	0.076	0.052	0.023	0.03	0.075	unknown	unknown	unknown	unknown	Proteasome	0.802	Proteasome	unclassified	Y								Prey		Q8CGC7	1	1.0		46.959098423	1512	False	False	False	False
P09103	PDIA1_MOUSE	Protein disulfide-isomerase OS=Mus musculus GN=P4hb PE=1 SV=2 - [PDIA1_MOUSE]	35	36	105	117	0.028	0.063	0.079	0.052	0.133	0.269	0.132	0.133	0.006	0.106	0.026	0.056	0.084	0.116	0.191	0.262	0.166	0.073	0.009	0.018	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	1.0	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N				Glucosidase II complex						P09103	1	1.0		378.393451175	509	True	False	False	False
Q78PY7	SND1_MOUSE	Staphylococcal nuclease domain-containing protein 1 OS=Mus musculus GN=Snd1 PE=1 SV=1 - [SND1_MOUSE]	35	36	79	79	0.031	0.039	0.042	0.031	0.085	0.2	0.142	0.158	0.04	0.233	0.019	0.041	0.055	0.065	0.094	0.169	0.149	0.079	0.048	0.28	unknown	unknown	unknown	unknown	60S Ribosome	0.34	unclassified	unclassified	N									Non-Specific	Q78PY7	1	1.0		33.014279683	910	False	False	False	False
P57780	ACTN4_MOUSE	Alpha-actinin-4 OS=Mus musculus GN=Actn4 PE=1 SV=1 - [ACTN4_MOUSE]	35	34	68	74	0.173	0.267	0.149	0.086	0.143	0.104	0.033	0.016	0.019	0.011	0.175	0.162	0.136	0.132	0.15	0.127	0.071	0.02	0.017	0.009	unknown	Phenotype 9	Actin cytoskeleton	Actin cytoskeleton	Actin cytoskeleton	1.0	Actin cytoskeleton	Actin cytoskeleton	N										P57780	1	1.0		32.955605077	912	True	False	False	False
P08003	PDIA4_MOUSE	Protein disulfide-isomerase A4 OS=Mus musculus GN=Pdia4 PE=1 SV=3 - [PDIA4_MOUSE]	34	32	85	91	0.025	0.06	0.066	0.051	0.136	0.277	0.139	0.132	0.006	0.109	0.021	0.043	0.087	0.119	0.183	0.288	0.15	0.083	0.009	0.017	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	1.0	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N										P08003	1	1.0		113.202376311	638	True	False	False	False
P14733	LMNB1_MOUSE	Lamin-B1 OS=Mus musculus GN=Lmnb1 PE=1 SV=3 - [LMNB1_MOUSE]	34	36	82	86	0.006	0.013	0.014	0.008	0.019	0.036	0.114	0.316	0.176	0.297	0.009	0.029	0.04	0.058	0.083	0.082	0.132	0.229	0.274	0.064	unknown	unknown	unknown	unknown	Nucleus - Chromatin	0.669	unclassified	Nucleus - Chromatin 	N	Nucleus - Lamina									P14733	1	1.0		81.6645304045	588	True	False	False	True
Q9JKR6	HYOU1_MOUSE	Hypoxia up-regulated protein 1 OS=Mus musculus GN=Hyou1 PE=1 SV=1 - [HYOU1_MOUSE]	34	33	75	76	0.018	0.049	0.063	0.053	0.125	0.287	0.165	0.132	0.005	0.104	0.019	0.047	0.087	0.113	0.183	0.278	0.164	0.082	0.006	0.02	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	1.0	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N										Q9JKR6	1	1.0		57.3381783135	999	True	False	False	False
Q01853	TERA_MOUSE	Transitional endoplasmic reticulum ATPase OS=Mus musculus GN=Vcp PE=1 SV=4 - [TERA_MOUSE]	34	34	72	72	0.478	0.084	0.098	0.043	0.093	0.083	0.032	0.036	0.022	0.03	0.4	0.087	0.105	0.096	0.103	0.09	0.047	0.025	0.029	0.017	unknown	unknown	unknown	unknown	Cytosol	0.659	unclassified	Cytosol	N										Q01853	1	1.0		122.007962342	806	True	False	False	False
Q64737	PUR2_MOUSE	Trifunctional purine biosynthetic protein adenosine-3 OS=Mus musculus GN=Gart PE=2 SV=3 - [PUR2_MOUSE]	34	26	67	52	0.446	0.154	0.129	0.056	0.075	0.046	0.02	0.03	0.012	0.032	0.412	0.101	0.118	0.101	0.097	0.061	0.036	0.019	0.018	0.038	unknown	Phenotype 5	unknown	unknown	Cytosol	0.89	Cytosol	Cytosol	Y									Non-Specific	Q64737	1	1.0		119.984982145	1010	True	False	False	False
Q8K2Z4	CND1_MOUSE	Condensin complex subunit 1 OS=Mus musculus GN=Ncapd2 PE=1 SV=2 - [CND1_MOUSE]	34	34	47	48	0.112	0.036	0.03	0.018	0.032	0.046	0.072	0.284	0.102	0.268	0.085	0.054	0.053	0.05	0.069	0.08	0.124	0.158	0.183	0.143	unknown	unknown	unknown	unknown	Nucleus - Chromatin	0.281	unclassified	unclassified	N				13S condensin complex						Q8K2Z4	1	1.0		47.7345513165	1392	False	False	False	False
P26041	MOES_MOUSE	Moesin OS=Mus musculus GN=Msn PE=1 SV=3 - [MOES_MOUSE]	33	31	75	58	0.017	0.341	0.225	0.124	0.157	0.074	0.024	0.018	0.008	0.012	0.021	0.237	0.163	0.187	0.17	0.112	0.054	0.019	0.019	0.019	Plasma membrane	Plasma membrane	Plasma membrane	Plasma membrane	Plasma membrane	1.0	Plasma membrane	Plasma membrane	N										P26041	1	1.0		31.7079864405	577	True	False	False	False
Q8K411-2	PREP_MOUSE	Isoform 2 of Presequence protease, mitochondrial OS=Mus musculus GN=Pitrm1 - [PREP_MOUSE]	33	37	60	60	0.001	0.016	0.016	0.013	0.028	0.094	0.323	0.252	0.021	0.234	0.003	0.012	0.015	0.019	0.029	0.101	0.374	0.276	0.032	0.139	unknown	Mitochondrion	unknown	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										Q8K411	1	1.0		58.1018163685	1036	True	False	False	False
P28660	NCKP1_MOUSE	Nck-associated protein 1 OS=Mus musculus GN=Nckap1 PE=1 SV=2 - [NCKP1_MOUSE]	33	36	59	56	0.033	0.33	0.184	0.121	0.146	0.086	0.033	0.029	0.013	0.026	0.026	0.227	0.159	0.168	0.153	0.111	0.062	0.025	0.033	0.037	Plasma membrane	Plasma membrane	Plasma membrane	Plasma membrane	Plasma membrane	1.0	Plasma membrane	Plasma membrane	N										P28660	1	1.0		72.897221657	1128	True	False	False	False
Q6GQT9	NOMO1_MOUSE	Nodal modulator 1 OS=Mus musculus GN=Nomo1 PE=1 SV=1 - [NOMO1_MOUSE]	33	39	58	64	0.0	0.039	0.048	0.037	0.107	0.257	0.163	0.18	0.026	0.144	0.001	0.042	0.067	0.102	0.149	0.267	0.204	0.099	0.037	0.032	unknown	Endoplasmic reticulum/Golgi apparatus	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.943	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Y										Q6GQT9	1	1.0		36.459665779	1214	True	False	False	False
P63017	HSP7C_MOUSE	Heat shock cognate 71 kDa protein OS=Mus musculus GN=Hspa8 PE=1 SV=1 - [HSP7C_MOUSE]	32	26	91	87	0.467	0.124	0.101	0.044	0.073	0.048	0.021	0.034	0.054	0.036	0.366	0.101	0.109	0.098	0.1	0.078	0.043	0.024	0.053	0.027	unknown	unknown	unknown	unknown	Cytosol	0.713	unclassified	Cytosol	N										P63017	1	1.0		145.786516898	646	True	False	False	False
Q3V3R1	C1TM_MOUSE	Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Mus musculus GN=Mthfd1l PE=1 SV=2 - [C1TM_MOUSE]	32	36	89	99	0.0	0.013	0.015	0.014	0.03	0.091	0.307	0.274	0.017	0.239	0.001	0.01	0.015	0.019	0.027	0.105	0.337	0.324	0.026	0.136	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										Q3V3R1	2	0.81922683825	0.216555216252	24.387938543	977	True	True	True	False
P35564	CALX_MOUSE	Calnexin OS=Mus musculus GN=Canx PE=1 SV=1 - [CALX_MOUSE]	32	30	83	75	0.0	0.075	0.07	0.054	0.128	0.235	0.144	0.158	0.005	0.132	0.002	0.077	0.097	0.129	0.188	0.235	0.143	0.096	0.01	0.022	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	1.0	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N				Glucosidase II complex					Non-Specific	P35564	3	0.479633547515	0.63054369233	337.634663571	591	True	True	True	False
P26040	EZRI_MOUSE	Ezrin OS=Mus musculus GN=Ezr PE=1 SV=3 - [EZRI_MOUSE]	32	27	76	77	0.02	0.301	0.194	0.121	0.151	0.092	0.039	0.037	0.02	0.027	0.02	0.219	0.178	0.167	0.159	0.116	0.06	0.026	0.033	0.021	Plasma membrane	Plasma membrane	Plasma membrane	Plasma membrane	Plasma membrane	1.0	Plasma membrane	Plasma membrane	N										P26040	1	1.0		31.209493202	586	True	False	False	False
Q91V92	ACLY_MOUSE	ATP-citrate synthase OS=Mus musculus GN=Acly PE=1 SV=1 - [ACLY_MOUSE]	32	37	62	65	0.416	0.147	0.118	0.057	0.073	0.045	0.023	0.042	0.027	0.053	0.355	0.097	0.113	0.097	0.094	0.067	0.04	0.019	0.054	0.065	unknown	unknown	unknown	unknown	Cytosol	0.781	unclassified	Cytosol	N										Q91V92	2	0.55332206866	0.807265707695	103.05768823	1091	True	True	True	False
Q6P9P6	KIF11_MOUSE	Kinesin-like protein KIF11 OS=Mus musculus GN=Kif11 PE=2 SV=1 - [KIF11_MOUSE]	32	34	61	57	0.067	0.042	0.035	0.019	0.036	0.084	0.136	0.268	0.076	0.236	0.054	0.048	0.049	0.049	0.064	0.109	0.158	0.154	0.176	0.139	unknown	unknown	unknown	unknown	Peroxisome	0.361	unclassified	unclassified	N		Kinesins								Q6P9P6	1	1.0		47.316648566	1052	False	False	False	False
Q8BKG3	PTK7_MOUSE	Inactive tyrosine-protein kinase 7 OS=Mus musculus GN=Ptk7 PE=1 SV=1 - [PTK7_MOUSE]	32	31	60	54	0.001	0.293	0.192	0.115	0.181	0.106	0.046	0.039	0.002	0.026	0.005	0.209	0.154	0.158	0.18	0.146	0.101	0.028	0.011	0.008	Plasma membrane	Plasma membrane	Plasma membrane	Plasma membrane	Plasma membrane	1.0	Plasma membrane	Plasma membrane	N									Non-Specific	Q8BKG3	1	1.0		18.9644968457	1062	True	False	False	False
Q9CQN1	TRAP1_MOUSE	Heat shock protein 75 kDa, mitochondrial OS=Mus musculus GN=Trap1 PE=1 SV=1 - [TRAP1_MOUSE]	32	26	57	50	0.001	0.016	0.018	0.013	0.035	0.087	0.218	0.324	0.01	0.277	0.002	0.012	0.016	0.02	0.028	0.104	0.371	0.289	0.019	0.139	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										Q9CQN1	1	1.0		93.21984262	706	True	False	False	False
Q02053	UBA1_MOUSE	Ubiquitin-like modifier-activating enzyme 1 OS=Mus musculus GN=Uba1 PE=1 SV=1 - [UBA1_MOUSE]	32	35	56	65	0.604	0.101	0.112	0.044	0.056	0.032	0.011	0.015	0.01	0.014	0.518	0.078	0.114	0.081	0.082	0.051	0.027	0.013	0.016	0.02	unknown	Phenotype 5	unknown	unknown	Cytosol	0.623	unclassified	Cytosol	Y									High Confidence	Q02053	2	0.903980666359	0.106218348704	85.9739675567	1058	True	False	False	False
P39447	ZO1_MOUSE	Tight junction protein ZO-1 OS=Mus musculus GN=Tjp1 PE=1 SV=2 - [ZO1_MOUSE]	32	42	53	65	0.037	0.199	0.13	0.083	0.119	0.153	0.097	0.066	0.06	0.056	0.031	0.124	0.11	0.104	0.123	0.201	0.144	0.048	0.06	0.056	unknown	unknown	unknown	unknown	Plasma membrane	0.23	unclassified	unclassified	N									Non-Specific	P39447	2	0.873693644974	0.144565953699	21.4740060322	1745	False	True	True	False
P80314	TCPB_MOUSE	T-complex protein 1 subunit beta OS=Mus musculus GN=Cct2 PE=1 SV=4 - [TCPB_MOUSE]	32	28	52	54	0.416	0.132	0.109	0.049	0.07	0.043	0.019	0.057	0.022	0.083	0.3	0.105	0.105	0.09	0.097	0.073	0.044	0.026	0.032	0.128	unknown	unknown	unknown	unknown	Cytosol	0.362	unclassified	unclassified	N				CCT complex						P80314	1	1.0		366.010700095	535	False	False	False	False
P23249	MOV10_MOUSE	Putative helicase MOV-10 OS=Mus musculus GN=Mov10 PE=1 SV=2 - [MOV10_MOUSE]	32	26	50	41	0.146	0.031	0.038	0.017	0.034	0.077	0.101	0.187	0.128	0.24	0.091	0.028	0.038	0.038	0.055	0.089	0.13	0.092	0.116	0.322	unknown	unknown	unknown	unknown	60S Ribosome	0.569	60S Ribosome	unclassified	Y				P-body			Prey			P23249	3	0.586867416422	0.590659210101	24.7264834803	1004	False	True	True	False
Q3UIL6-2	PKHA7_MOUSE	Isoform 2 of Pleckstrin homology domain-containing family A member 7 OS=Mus musculus GN=Plekha7 - [PKHA7_MOUSE]	32	35	44	49	0.033	0.186	0.128	0.076	0.126	0.144	0.097	0.091	0.047	0.072	0.027	0.122	0.096	0.092	0.115	0.18	0.191	0.053	0.058	0.067	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.227	unclassified	unclassified	N										Q3UIL6	1	1.0		7.95729438525	1118	False	False	False	False
Q03265	ATPA_MOUSE	ATP synthase subunit alpha, mitochondrial OS=Mus musculus GN=Atp5a1 PE=1 SV=1 - [ATPA_MOUSE]	31	35	108	139	0.0	0.016	0.023	0.014	0.035	0.094	0.261	0.248	0.076	0.234	0.001	0.013	0.013	0.018	0.026	0.086	0.338	0.287	0.088	0.13	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N				ATP synthase						Q03265	1	1.0		504.801546748	553	True	False	False	False
Q91YQ5	RPN1_MOUSE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Mus musculus GN=Rpn1 PE=2 SV=1 - [RPN1_MOUSE]	31	30	69	57	0.0	0.04	0.054	0.037	0.101	0.22	0.146	0.194	0.043	0.165	0.001	0.046	0.079	0.104	0.146	0.228	0.189	0.117	0.06	0.03	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	1.0	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N				Oligosacchyltransferase complex (OST)						Q91YQ5	1	1.0		94.8482331705	608	True	False	False	False
P37913	DNLI1_MOUSE	DNA ligase 1 OS=Mus musculus GN=Lig1 PE=1 SV=2 - [DNLI1_MOUSE]	31	23	59	34	0.189	0.01	0.023	0.0	0.01	0.028	0.1	0.296	0.074	0.27	0.306	0.024	0.044	0.024	0.03	0.046	0.085	0.214	0.114	0.111	unknown	unknown	unknown	unknown	Mitochondrion	0.257	unclassified	unclassified	N										P37913	3	0.59670011031	0.436931657176	53.1432685358	916	False	True	True	False
Q60864	STIP1_MOUSE	Stress-induced-phosphoprotein 1 OS=Mus musculus GN=Stip1 PE=1 SV=1 - [STIP1_MOUSE]	31	35	59	68	0.581	0.114	0.103	0.046	0.057	0.047	0.017	0.014	0.009	0.011	0.456	0.108	0.121	0.094	0.095	0.059	0.032	0.011	0.013	0.01	unknown	Phenotype 5	unknown	unknown	Cytosol	0.777	unclassified	Cytosol	N									High Confidence	Q60864	1	1.0		284.045892635	543	True	False	False	False
Q8BK67	RCC2_MOUSE	Protein RCC2 OS=Mus musculus GN=Rcc2 PE=2 SV=1 - [RCC2_MOUSE]	31	21	57	37	0.091	0.019	0.024	0.008	0.02	0.035	0.087	0.282	0.18	0.253	0.098	0.027	0.036	0.032	0.039	0.054	0.091	0.128	0.359	0.137	unknown	Phenotype 1	Nucleus - Chromatin	Nucleus - Chromatin	Nucleus - Chromatin	1.0	Nucleus - Chromatin	Nucleus - Chromatin	N										Q8BK67	1	1.0		133.002515782	520	True	False	False	False
Q61191	HCFC1_MOUSE	Host cell factor 1 OS=Mus musculus GN=Hcfc1 PE=1 SV=2 - [HCFC1_MOUSE]	31	30	52	44	0.155	0.013	0.02	0.004	0.015	0.029	0.073	0.204	0.278	0.209	0.138	0.016	0.024	0.019	0.024	0.037	0.068	0.089	0.412	0.171	unknown	unknown	unknown	unknown	Nucleus - Chromatin	0.475	unclassified	unclassified	N						Prey	Prey			Q61191	1	1.0		21.473028947	2045	False	False	False	False
P27546	MAP4_MOUSE	Microtubule-associated protein 4 OS=Mus musculus GN=Map4 PE=1 SV=3 - [MAP4_MOUSE]	31	36	46	53	0.137	0.06	0.05	0.023	0.041	0.061	0.098	0.244	0.082	0.203	0.161	0.088	0.084	0.073	0.083	0.074	0.084	0.101	0.162	0.089	unknown	60S Ribosome	unknown	unknown	60S Ribosome	0.195	unclassified	unclassified	N		Microtubules								P27546	4	0.633595870869	0.282692785808	22.4573744672	1125	False	True	True	False
Q3U7R1	ESYT1_MOUSE	Extended synaptotagmin-1 OS=Mus musculus GN=Esyt1 PE=2 SV=2 - [ESYT1_MOUSE]	31	29	43	35	0.0	0.055	0.071	0.065	0.213	0.221	0.098	0.155	0.004	0.119	0.005	0.072	0.09	0.139	0.215	0.209	0.164	0.068	0.016	0.023	unknown	Endoplasmic reticulum/Golgi apparatus	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.801	unclassified	Endoplasmic reticulum/Golgi apparatus	N										Q3U7R1	1	1.0		15.7930804617	1092	True	False	False	False
